time,trackID,clTrackID
1,944,1
1,945,1
1,946,1
1,1007,1
1,1008,1
1,1009,1
1,1010,1
1,1011,1
1,1012,1
1,1070,1
1,1071,1
1,1072,1
1,1073,1
1,1074,1
1,1075,1
1,1076,1
1,1134,1
1,1135,1
1,1136,1
1,1137,1
1,1138,1
1,1139,1
1,1140,1
1,1198,1
1,1199,1
1,1200,1
1,1201,1
1,1202,1
1,1203,1
1,1204,1
1,1262,1
1,1263,1
1,1264,1
1,1265,1
1,1266,1
1,1267,1
1,1268,1
1,1327,1
1,1328,1
1,1329,1
1,1330,1
1,1331,1
1,1393,1
1,1394,1
1,1878,2
1,1879,2
1,1880,2
1,1881,2
1,1941,2
1,1942,2
1,1943,2
1,1944,2
1,1945,2
1,1946,2
1,2005,2
1,2006,2
1,2007,2
1,2008,2
1,2009,2
1,2010,2
1,2011,2
1,2069,2
1,2070,2
1,2071,2
1,2072,2
1,2073,2
1,2074,2
1,2075,2
1,2133,2
1,2134,2
1,2135,2
1,2136,2
1,2137,2
1,2138,2
1,2139,2
1,2197,2
1,2198,2
1,2199,2
1,2200,2
1,2201,2
1,2202,2
1,2203,2
1,2262,2
1,2263,2
1,2264,2
1,2265,2
1,2266,2
1,2801,3
1,2802,3
1,2863,3
1,2864,3
1,2865,3
1,2866,3
1,2867,3
1,2926,3
1,2927,3
1,2928,3
1,2929,3
1,2930,3
1,2931,3
1,2932,3
1,2990,3
1,2991,3
1,2992,3
1,2993,3
1,2994,3
1,2995,3
1,2996,3
1,3054,3
1,3055,3
1,3056,3
1,3057,3
1,3058,3
1,3059,3
1,3060,3
1,3118,3
1,3119,3
1,3120,3
1,3121,3
1,3122,3
1,3123,3
1,3124,3
1,3183,3
1,3184,3
1,3185,3
1,3186,3
1,3187,3
1,3188,3
1,3248,3
1,3249,3
1,3250,3
2,1139,1
2,1140,1
2,1141,1
2,1142,1
2,1202,1
2,1203,1
2,1204,1
2,1205,1
2,1206,1
2,1207,1
2,1266,1
2,1267,1
2,1268,1
2,1269,1
2,1270,1
2,1271,1
2,1272,1
2,1329,1
2,1330,1
2,1331,1
2,1332,1
2,1333,1
2,1334,1
2,1335,1
2,1336,1
2,1394,1
2,1395,1
2,1396,1
2,1397,1
2,1398,1
2,1399,1
2,1400,1
2,1458,1
2,1459,1
2,1460,1
2,1461,1
2,1462,1
2,1463,1
2,1523,1
2,1524,1
2,1525,1
2,1526,1
2,1527,1
2,1560,2
2,1561,2
2,1622,2
2,1623,2
2,1624,2
2,1625,2
2,1626,2
2,1627,2
2,1686,2
2,1687,2
2,1688,2
2,1689,2
2,1690,2
2,1691,2
2,1749,2
2,1750,2
2,1751,2
2,1752,2
2,1753,2
2,1754,2
2,1755,2
2,1756,2
2,1813,2
2,1814,2
2,1815,2
2,1816,2
2,1817,2
2,1818,2
2,1819,2
2,1820,2
2,1877,2
2,1878,2
2,1879,2
2,1880,2
2,1881,2
2,1882,2
2,1883,2
2,1942,2
2,1943,2
2,1944,2
2,1945,2
2,1946,2
2,1947,2
2,2007,2
2,2008,2
2,2009,2
2,2010,2
2,2924,3
2,2925,3
2,2926,3
2,2927,3
2,2987,3
2,2988,3
2,2989,3
2,2990,3
2,2991,3
2,2992,3
2,3050,3
2,3051,3
2,3052,3
2,3053,3
2,3054,3
2,3055,3
2,3056,3
2,3114,3
2,3115,3
2,3116,3
2,3117,3
2,3118,3
2,3119,3
2,3120,3
2,3178,3
2,3179,3
2,3180,3
2,3181,3
2,3182,3
2,3183,3
2,3184,3
2,3242,3
2,3243,3
2,3244,3
2,3245,3
2,3246,3
2,3247,3
2,3248,3
2,3307,3
2,3308,3
2,3309,3
2,3310,3
2,3311,3
2,3373,3
3,1305,2
3,1306,2
3,1307,2
3,1334,1
3,1335,1
3,1336,1
3,1368,2
3,1369,2
3,1370,2
3,1371,2
3,1372,2
3,1397,1
3,1398,1
3,1399,1
3,1400,1
3,1401,1
3,1402,1
3,1431,2
3,1432,2
3,1433,2
3,1434,2
3,1435,2
3,1436,2
3,1437,2
3,1460,1
3,1461,1
3,1462,1
3,1463,1
3,1464,1
3,1465,1
3,1466,1
3,1495,2
3,1496,2
3,1497,2
3,1498,2
3,1499,2
3,1500,2
3,1501,2
3,1524,1
3,1525,1
3,1526,1
3,1527,1
3,1528,1
3,1529,1
3,1530,1
3,1531,1
3,1559,2
3,1560,2
3,1561,2
