time,trackID,clTrackID
1,602,1
1,603,1
1,604,1
1,605,1
1,606,1
1,607,1
1,608,1
1,609,1
1,663,1
1,664,1
1,665,1
1,666,1
1,667,1
1,668,1
1,669,1
1,670,1
1,671,1
1,672,1
1,673,1
1,674,1
1,675,1
1,726,1
1,727,1
1,728,1
1,729,1
1,737,1
1,738,1
1,739,1
1,740,1
1,741,1
1,789,1
1,790,1
1,791,1
1,804,1
1,805,1
1,806,1
1,852,1
1,853,1
1,869,1
1,870,1
1,871,1
1,915,1
1,916,1
1,934,1
1,935,1
1,936,1
1,978,1
1,979,1
1,999,1
1,1000,1
1,1042,1
1,1043,1
1,1064,1
1,1065,1
1,1105,1
1,1106,1
1,1128,1
1,1129,1
1,1169,1
1,1170,1
1,1192,1
1,1193,1
1,1194,1
1,1232,1
1,1233,1
1,1257,1
1,1258,1
1,1296,1
1,1297,1
1,1321,1
1,1322,1
1,1360,1
1,1361,1
1,1385,1
1,1386,1
1,1424,1
1,1425,1
1,1449,1
1,1450,1
1,1488,1
1,1489,1
1,1513,1
1,1514,1
1,1552,1
1,1553,1
1,1577,1
1,1578,1
1,1617,1
1,1618,1
1,1641,1
1,1642,1
1,1681,1
1,1682,1
1,1704,1
1,1705,1
1,1745,1
1,1746,1
1,1768,1
1,1769,1
1,1810,1
1,1811,1
1,1831,1
1,1832,1
1,1833,1
1,1874,1
1,1875,1
1,1876,1
1,1895,1
1,1896,1
1,1939,1
1,1940,1
1,1958,1
1,1959,1
1,2004,1
1,2005,1
1,2006,1
1,2021,1
1,2022,1
1,2069,1
1,2070,1
1,2071,1
1,2083,1
1,2084,1
1,2085,1
1,2134,1
1,2135,1
1,2136,1
1,2137,1
1,2138,1
1,2145,1
1,2146,1
1,2147,1
1,2148,1
1,2200,1
1,2201,1
1,2202,1
1,2203,1
1,2204,1
1,2205,1
1,2206,1
1,2207,1
1,2208,1
1,2209,1
1,2210,1
1,2267,1
1,2268,1
1,2269,1
1,2270,1
1,2271,1
1,2272,1
2,668,1
2,669,1
2,670,1
2,671,1
2,672,1
2,673,1
2,729,1
2,730,1
2,731,1
2,732,1
2,733,1
2,734,1
2,735,1
2,736,1
2,737,1
2,738,1
2,739,1
2,740,1
2,791,1
2,792,1
2,793,1
2,794,1
2,795,1
2,802,1
2,803,1
2,804,1
2,805,1
2,854,1
2,855,1
2,856,1
2,868,1
2,869,1
2,870,1
2,871,1
2,917,1
2,918,1
2,919,1
2,934,1
2,935,1
2,936,1
2,980,1
2,981,1
2,982,1
2,999,1
2,1000,1
2,1001,1
2,1043,1
2,1044,1
2,1045,1
2,1064,1
2,1065,1
2,1107,1
2,1108,1
2,1129,1
2,1130,1
2,1170,1
2,1171,1
2,1172,1
2,1193,1
2,1194,1
2,1234,1
2,1235,1
2,1258,1
2,1259,1
2,1298,1
2,1299,1
2,1322,1
2,1323,1
2,1362,1
2,1363,1
2,1386,1
2,1387,1
2,1425,1
2,1426,1
2,1450,1
2,1451,1
2,1489,1
2,1490,1
2,1514,1
2,1515,1
2,1553,1
2,1554,1
2,1578,1
2,1579,1
2,1618,1
2,1642,1
2,1643,1
2,1682,1
2,1683,1
2,1706,1
2,1707,1
2,1746,1
2,1747,1
2,1770,1
2,1771,1
2,1810,1
2,1811,1
2,1833,1
2,1834,1
2,1875,1
2,1876,1
2,1897,1
2,1898,1
2,1939,1
2,1940,1
2,1941,1
2,1960,1
2,1961,1
2,2004,1
2,2005,1
2,2023,1
2,2024,1
2,2025,1
2,2069,1
2,2070,1
2,2086,1
2,2087,1
2,2088,1
2,2134,1
2,2135,1
2,2136,1
2,2149,1
2,2150,1
2,2151,1
2,2199,1
2,2200,1
2,2201,1
2,2202,1
2,2211,1
